Eng Displ,# Cyl,Comb Unadj FE - Conventional Fuel,# Gears,Max Ethanol % - Gasoline,Intake Valves Per Cyl,Exhaust Valves Per Cyl,Trans Creeper Gear,Unique Label?,Air Aspiration Method Desc,Fuel Metering Sys Desc,Cyl Deact?
3.8,6,27.3812,7,10.0,2,2,N,N,Naturally Aspirated,@@@@@,N
3.0,6,31.5042,8,10.0,2,2,N,N,none given,Spark Ignition Direct Injection,N
2.0,4,34.7884,8,10.0,2,2,N,N,none given,@@@@@,   
,6,22.577,6,10.0,2,2,N,N,Naturally Aspirated,Spark Ignition Direct Injection,N
4.4,8,24.9737,8,10.0,2,2,N,N,Turbocharged,@@@@@,N
5.2,10,20.2436,7,15.0,2,2,N,N,none given,@@@@@,Y
3.5,6,27.925,6,15.0,2,2,N,N,Naturally Aspirated,Spark Ignition direct & ported injection,N
,4,30.8919,6,15.0,2,2,N,N,Turbocharged,Spark Ignition Direct Injection,N
4.4,8,23.7426,8,10.0,2,2,N,N,Turbocharged,@@@@@,   
3.0,6,25.0855,7,10.0,2,2,N,N,Turbocharged,Spark Ignition Direct Injection,   
,6,26.1804,6,15.0,2,2,N,N,Naturally Aspirated,Multipoint/sequential fuel injection,N
,6,29.8923,8,10.0,2,2,N,N,none given,Multipoint/sequential fuel injection,N
2.0,4,46.2043,8,,2,2,N,N,Turbocharged,@@@@@,
,6,27.4553,8,10.0,2,2,N,,none given,Spark Ignition Direct Injection,   
3.4,6,28.9841,7,10.0,2,2,N,Y,Naturally Aspirated,@@@@@,   
3.8,6,26.9652,7,10.0,2,2,N,Y,Naturally Aspirated,@@@@@,N
3.0,6,28.9989,8,,2,2,N,N,none given,Common Rail Direct Diesel Injection,   
,6,25.4694,8,10.0,2,2,N,N,Turbocharged,@@@@@,N
1.6,4,31.8522,6,10.0,2,2,N,Y,Turbocharged,Spark Ignition Direct Injection,
5.5,8,23.1471,7,10.0,2,2,N,,none given,Spark Ignition Direct Injection,   
2.5,5,30.5489,6,10.0,2,2,N,N,none given,Multipoint/sequential fuel injection,
,8,22.3814,8,10.0,1,1,N,N,Naturally Aspirated,Spark Ignition Direct Injection,Y
2.0,4,36.2994,6,85.0,2,2,N,N,none given,Multipoint/sequential fuel injection,   
,4,38.547,6,10.0,2,2,N,N,none given,Multipoint/sequential fuel injection,N
3.0,6,27.0634,6,10.0,2,2,N,N,none given,Multipoint/sequential fuel injection,
1.6,4,41.3224,6,10.0,2,2,N,N,none given,Spark Ignition Direct Injection,   
3.8,8,23.8458,7,10.0,2,2,N,Y,Turbocharged,@@@@@,N
2.5,4,39.7459,6,10.0,2,2,N,N,Naturally Aspirated,Multipoint/sequential fuel injection,   
3.6,6,28.0689,6,10.0,2,2,N,N,none given,Spark Ignition Direct Injection,N
,4,29.3454,8,10.0,2,2,N,N,Turbocharged+Supercharged,Spark Ignition Direct Injection,   
3.0,6,27.3539,8,10.0,2,2,N,N,Turbocharged,@@@@@,
2.4,4,32.2322,6,10.0,2,2,N,N,none given,Spark Ignition Direct Injection,   
,6,21.7078,6,15.0,2,2,N,Y,Turbocharged,Spark Ignition Direct Injection,   
3.0,6,28.3245,8,15.0,2,2,N,Y,Supercharged,@@@@@,   
,6,33.1162,8,,2,2,N,N,Turbocharged,@@@@@,N
,4,29.1587,9,15.0,2,2,N,Y,Turbocharged,Spark Ignition Direct Injection,N
2.0,4,29.5284,6,15.0,2,2,N,N,Turbocharged,@@@@@,N
3.4,6,32.6906,7,10.0,2,2,N,Y,Naturally Aspirated,@@@@@,N
,4,30.9621,6,15.0,2,2,N,Y,Turbocharged,@@@@@,N
,6,23.763,6,10.0,2,2,N,N,none given,Spark Ignition Direct Injection,N
2.0,4,40.6667,8,10.0,2,2,N,Y,none given,Spark Ignition Direct Injection,
1.5,4,46.0738,6,10.0,2,2,N,N,none given,@@@@@,   
,4,36.7597,7,10.0,2,2,N,N,Supercharged,Multipoint/sequential fuel injection,
2.0,4,35.7394,7,10.0,2,2,N,N,none given,Spark Ignition Direct Injection,N
,4,34.2039,5,10.0,2,2,N,N,Naturally Aspirated,Multipoint/sequential fuel injection,N
2.0,4,33.7222,6,15.0,2,2,N,N,Turbocharged,Spark Ignition Direct Injection,   
,4,26.7546,6,10.0,2,2,N,N,Turbocharged,Spark Ignition Direct Injection,N
1.4,4,40.8578,6,10.0,2,2,N,N,Turbocharged,@@@@@,
4.7,8,24.7318,7,10.0,2,2,N,,none given,Spark Ignition Direct Injection,N
4.3,6,24.2609,6,85.0,1,1,N,N,Naturally Aspirated,@@@@@,Y
,6,27.9311,7,10.0,2,2,N,Y,Naturally Aspirated,@@@@@,N
1.4,4,40.4989,5,10.0,2,2,N,N,Turbocharged,@@@@@,N
2.4,4,29.8745,6,10.0,2,2,N,N,Naturally Aspirated,@@@@@,N
3.5,6,28.5768,8,15.0,2,2,N,Y,none given,Spark Ignition direct & ported injection,   
,6,24.1231,6,15.0,2,2,N,Y,Supercharged,@@@@@,N
3.6,6,29.8923,8,85.0,2,2,N,N,Naturally Aspirated,Multipoint/sequential fuel injection,
2.0,4,37.4744,6,10.0,2,2,N,Y,Naturally Aspirated,Spark Ignition Direct Injection,   
,4,29.7663,6,85.0,2,2,N,N,Naturally Aspirated,Multipoint/sequential fuel injection,N
,8,21.2378,8,10.0,1,1,N,N,Naturally Aspirated,Spark Ignition Direct Injection,Y
2.4,4,33.4779,9,10.0,2,2,N,N,none given,Multipoint/sequential fuel injection,N
3.6,6,28.5088,6,15.0,2,2,N,N,Naturally Aspirated,Spark Ignition Direct Injection,   
